tiempo,altura,setpoint,flujo_entrada,flujo_salida,error
0.0000,1.0012,1.0000,0.3432,0.5001,-0.0012
0.0000,1.0031,1.0000,0.3389,0.5005,-0.0031
0.0000,1.0040,1.0000,0.3403,0.5008,-0.0040
0.0000,1.0049,1.0000,0.3391,0.5010,-0.0049
0.0000,1.0067,1.0000,0.3348,0.5014,-0.0067
0.0000,1.0075,1.0000,0.3359,0.5017,-0.0075
0.0000,1.0083,1.0000,0.3346,0.5019,-0.0083
0.0000,1.0100,1.0000,0.3304,0.5023,-0.0100
0.0000,1.0108,1.0000,0.3313,0.5025,-0.0108
0.0000,1.0116,1.0000,0.3299,0.5027,-0.0116
0.0000,1.0124,1.0000,0.3285,0.5029,-0.0124
0.0000,1.0132,1.0000,0.3271,0.5031,-0.0132
0.0000,1.0139,1.0000,0.3257,0.5033,-0.0139
0.0000,1.0147,1.0000,0.3243,0.5035,-0.0147
0.0000,1.0154,1.0000,0.3228,0.5036,-0.0154
0.0000,1.0161,1.0000,0.3213,0.5038,-0.0161
0.0000,1.0168,1.0000,0.3198,0.5040,-0.0168
0.0000,1.0175,1.0000,0.3183,0.5042,-0.0175
0.0000,1.0188,1.0000,0.3145,0.5045,-0.0188
0.0000,1.0194,1.0000,0.3146,0.5047,-0.0194
0.0000,1.0200,1.0000,0.3130,0.5048,-0.0200
0.0000,1.0206,1.0000,0.3114,0.5050,-0.0206
0.0000,1.0218,1.0000,0.3077,0.5053,-0.0218
0.0000,1.0224,1.0000,0.3076,0.5054,-0.0224
0.0000,1.0229,1.0000,0.3059,0.5056,-0.0229
0.0000,1.0234,1.0000,0.3043,0.5057,-0.0234
0.0000,1.0239,1.0000,0.3026,0.5058,-0.0239
0.0000,1.0244,1.0000,0.3009,0.5060,-0.0244
0.0000,1.0249,1.0000,0.2992,0.5061,-0.0249
0.0000,1.0254,1.0000,0.2975,0.5062,-0.0254
0.0000,1.0258,1.0000,0.2959,0.5063,-0.0258
0.0000,1.0263,1.0000,0.2942,0.5064,-0.0263
0.0000,1.0267,1.0000,0.2925,0.5065,-0.0267
0.0000,1.0271,1.0000,0.2908,0.5066,-0.0271
0.0000,1.0274,1.0000,0.2891,0.5067,-0.0274
0.0000,1.0278,1.0000,0.2874,0.5068,-0.0278
0.0000,1.0281,1.0000,0.2857,0.5069,-0.0281
0.0000,1.0288,1.0000,0.2828,0.5071,-0.0288
